dutch,english,topic,section,definition
investeerder,investor,Topic 5,Een eigen bedrijf beginnen,iemand die geld geeft aan een bedrijf om later een deel van de winst te krijgen,someone who gives money to a company to later receive part of the profit
Kamer van Koophandel,Chamber of Commerce,Topic 5,Een eigen bedrijf beginnen,organisatie die bedrijven registreert en ondersteunt,organization that registers and supports businesses
KVK-nummer,Chamber of Commerce number,Topic 5,Een eigen bedrijf beginnen,een reeks van acht cijfers die een bedrijf krijgt als het zich inschrijft in het handelsregister,a series of eight digits that a company receives when it registers in the trade register
lening,loan,Topic 5,Een eigen bedrijf beginnen,het geld dat je leent en later weer terugbetaald,the money you borrow and pay back later
omzet,turnover,Topic 5,Een eigen bedrijf beginnen,het geld dat een winkel of een bedrijf ontvangt door producten of diensten te verkopen,the money a store or business receives by selling products or services
ondernemer,entrepreneur,Topic 5,Een eigen bedrijf beginnen,iemand die een bedrijf heeft,someone who has a business
ondernemingsplan,business plan,Topic 5,Een eigen bedrijf beginnen,document dat je moet maken als je een eigen bedrijf begint; hierin staan doelen methoden en andere plannen,document you must make when starting your own business; this contains goals methods and other plans
zakendoen,doing business,Topic 5,Een eigen bedrijf beginnen,een reeks van acht cijfers die een bedrijf krijgt als het zich inschrijft in het handelsregister,a series of eight digits that a company receives when it registers in the trade register
Belastingdienst,Tax Authority,Topic 6,Contact met de overheid,de instantie die zorgt dat de belastingen betaald worden,the agency that ensures taxes are paid
burgerservicenummer,citizen service number,Topic 6,Contact met de overheid,het nummer waarmee je bekend bent bij de overheid onder andere de gemeente en de belastingdienst,the number by which you are known to the government including the municipality and the tax authority
DigiD,DigiD,Topic 6,Contact met de overheid,een persoonlijke code waarmee je op websites van de overheid kunt inloggen,a personal code with which you can log in to government websites
dossier,file,Topic 6,Contact met de overheid,een map met informatie over één persoon of één zaak,a folder with information about one person or one case
gemeente,municipality,Topic 6,Contact met de overheid,een gebied dat door een burgemeester wordt geleid,an area that is led by a mayor
identiteitskaart,identity card,Topic 6,Contact met de overheid,een officieel document waarmee je kunt bewijzen wie je bent,an official document with which you can prove who you are
IDO,IDO,Topic 6,Contact met de overheid,een organisatie die mensen helpt bij vragen over digitale communicatie met de overheid,an organization that helps people with questions about digital communication with the government
instantie,agency,Topic 6,Contact met de overheid,een afdeling of een instelling van de overheid,a department or institution of the government
overheid,government,Topic 6,Contact met de overheid,de regering,the government
paspoort,passport,Topic 6,Contact met de overheid,een officieel document met je foto je naam en geboortedatum als bewijs van je nationaliteit,an official document with your photo name and date of birth as proof of your nationality
privacy,privacy,Topic 6,Contact met de overheid,de mogelijkheid om alleen te zijn zonder dat anderen je zien of alles van je weten,the possibility to be alone without others seeing you or knowing everything about you
rijbewijs,driver's license,Topic 6,Contact met de overheid,een officieel document dat bewijst dat je mag autorijden,an official document that proves you are allowed to drive a car
Rijksoverheid,National Government,Topic 6,Contact met de overheid,de nationale overheid van een land,the national government of a country
aangifte doen,report,Topic 6,Naar het gemeentehuis,een officiële melding maken bij een instantie bijvoorbeeld de gemeente of de politie,making an official report to an agency for example the municipality or the police
begrafenisondernemer,funeral director,Topic 6,Naar het gemeentehuis,iemand die voor zijn beroep begrafenissen regelt,someone who arranges funerals as their profession
burgerlijke stand,civil registry,Topic 6,Naar het gemeentehuis,de afdeling van de gemeente die registreert wanneer mensen geboren overleden getrouwd of gescheiden zijn,the department of the municipality that registers when people are born deceased married or divorced
burgerservicenummer,citizen service number,Topic 6,Naar het gemeentehuis,het nummer waarmee je bekend bent bij de overheid onder andere de gemeente en de belastingdienst,the number by which you are known to the government including the municipality and the tax authority
DigiD,DigiD,Topic 6,Naar het gemeentehuis,een persoonlijke code waarmee je op websites van de overheid kunt inloggen,a personal code with which you can log in to government websites
document,document,Topic 6,Naar het gemeentehuis,een stuk papier met belangrijke informatie,a piece of paper with important information
geboorteakte,birth certificate,Topic 6,Naar het gemeentehuis,een officieel papier over iemands geboorte,an official document about someone's birth
geregistreerd partnerschap,registered partnership,Topic 6,Naar het gemeentehuis,twee personen laten hun relatie voor de wet vastleggen,two people have their relationship legally registered
getuige,witness,Topic 6,Naar het gemeentehuis,iemand die bij een gebeurtenis is geweest en kan vertellen wat er gebeurd is,someone who was present at an event and can tell what happened
identiteitsbewijs,identity document,Topic 6,Naar het gemeentehuis,een officieel papier waarmee je kunt bewijzen wie je bent bijvoorbeeld een paspoort of een rijbewijs,an official document with which you can prove who you are for example a passport or driver's license
instantie,agency,Topic 6,Naar het gemeentehuis,een afdeling of een instelling van de overheid,a department or institution of the government
overlijdensakte,death certificate,Topic 6,Naar het gemeentehuis,een officieel papier over iemands overlijden,an official document about someone's death
trouwambtenaar,marriage registrar,Topic 6,Naar het gemeentehuis,een medewerker van de gemeente die huwelijken en partnerschappen vastlegt,a municipality employee who registers marriages and partnerships
vergunning,permit,Topic 6,Naar het gemeentehuis,een officiële toestemming van de overheid om iets te doen wat normaal verboden is,official permission from the government to do something that is normally prohibited
zich uitschrijven,deregister,Topic 6,Naar het gemeentehuis,afmelden,unregister
afstand doen van,renounce,Topic 6,In Nederland blijven,verklaring waarin je zegt dat iets niet meer van jou is bijvoorbeeld afstand doen van je nationaliteit,declaration in which you say that something is no longer yours for example renouncing your nationality
asiel aanvragen,apply for asylum,Topic 6,In Nederland blijven,verzoek om te blijven in een land waar je niet geboren bent en om daar bescherming te krijgen,request to stay in a country where you were not born and to receive protection there
basisexamen inburgering,basic integration exam,Topic 6,In Nederland blijven,toets over de Nederlandse taal en samenleving die mensen moeten maken voordat ze naar Nederland komen,test about the Dutch language and society that people must take before coming to the Netherlands
beslistermijn,decision period,Topic 6,In Nederland blijven,een periode waarin een besluit wordt genomen,a period in which a decision is made
bezwaar maken,object,Topic 6,In Nederland blijven,officieel laten weten dat je het niet eens bent met een besluit,officially letting know that you disagree with a decision
een aanvraag beoordelen,assess an application,Topic 6,In Nederland blijven,een verzoek goed- of afkeuren,approve or reject a request
IND,IND,Topic 6,In Nederland blijven,een instantie die aanvragen beoordeelt van mensen die in Nederland willen verblijven of die Nederlander willen worden,an agency that assesses applications from people who want to stay in the Netherlands or who want to become Dutch
mvv,provisional residence permit,Topic 6,In Nederland blijven,een visum waarmee je voor een bepaalde tijd in Nederland mag blijven,a visa with which you may stay in the Netherlands for a certain time
naturalisatie,naturalization,Topic 6,In Nederland blijven,het geven van de nationaliteit van een land aan iemand die uit een ander land komt,giving the nationality of a country to someone who comes from another country
naturalisatieceremonie,naturalization ceremony,Topic 6,In Nederland blijven,feestelijke bijeenkomst voor mensen die de Nederlandse nationaliteit krijgen,festive gathering for people who receive Dutch nationality
ontvangstbevestiging,receipt confirmation,Topic 6,In Nederland blijven,een bericht waarin staat dat iets goed ontvangen is,a message stating that something has been properly received
verblijfsvergunning,residence permit,Topic 6,In Nederland blijven,de toestemming om in een bepaald land te wonen,permission to live in a certain country
verklaring van verbondenheid,declaration of solidarity,Topic 6,In Nederland blijven,verklaring die mensen moeten afleggen als ze de Nederlandse nationaliteit krijgen,declaration that people must make when they receive Dutch nationality
visum,visa,Topic 6,In Nederland blijven,een papier dat toestemming geeft om naar een bepaald land te reizen,a document that gives permission to travel to a certain country
voor bepaalde tijd,for a limited time,Topic 6,In Nederland blijven,een vastgestelde tijdelijke periode,a fixed temporary period
voor onbepaalde tijd,for an indefinite time,Topic 6,In Nederland blijven,een periode zonder vastgesteld einde,a period without a fixed end
werkvergunning,work permit,Topic 6,In Nederland blijven,de officiële toestemming om in een land te komen werken,official permission to come work in a country
aanslag,tax assessment,Topic 6,Belasting betalen,het bedrag dat je aan belastingen moet betalen,the amount you have to pay in taxes
accijns,excise tax,Topic 6,Belasting betalen,extra belasting die je moet betalen voor bepaalde producten zoals alcohol en benzine,extra tax you have to pay for certain products such as alcohol and gasoline
afvalstoffenheffing,waste collection fee,Topic 6,Belasting betalen,geld dat je als huishouden betaalt aan de gemeente omdat je afval produceert,money you pay as a household to the municipality because you produce waste
belastingaangifte,tax return,Topic 6,Belasting betalen,het geven van informatie over je inkomen aan de belastingdienst,giving information about your income to the tax authority
Belastingdienst,Tax Authority,Topic 6,Belasting betalen,de instantie die zorgt dat de belastingen betaald worden,the agency that ensures taxes are paid
Belastingtelefoon,Tax phone,Topic 6,Belasting betalen,telefoonnummer dat je kunt bellen als je vragen over de belasting hebt,phone number you can call if you have tax questions
bezwaar maken,object,Topic 6,Belasting betalen,officieel laten weten dat je het niet eens bent met een besluit,officially letting know that you disagree with a decision
boekhouder,accountant,Topic 6,Belasting betalen,iemand die als beroep de administratie doet van een ander bijvoorbeeld een bedrijf,someone who does the administration of another as a profession for example a company
brutoloon,gross salary,Topic 6,Belasting betalen,het loon waar nog geen belasting over betaald is,the salary on which no tax has been paid yet
deeltijdfactor,part-time factor,Topic 6,Belasting betalen,het getal dat aangeeft hoeveel uur je per week werkt,the number that indicates how many hours you work per week
gemeentelijke belastingen,municipal taxes,Topic 6,Belasting betalen,het geld dat je jaarlijks aan de gemeente moet betalen,the money you have to pay annually to the municipality
huurtoeslag,housing allowance,Topic 6,Belasting betalen,geld dat je via de belastingen van de overheid krijgt om je te helpen de huur van je huis te betalen,money you get through taxes from the government to help you pay the rent of your house
in loondienst werken,work as an employee,Topic 6,Belasting betalen,werken voor een baas,working for a boss
jaaropgave,annual statement,Topic 6,Belasting betalen,document dat je van je werkgever krijgt waarin staat hoeveel geld je het afgelopen jaar verdiend hebt,document you get from your employer stating how much money you earned last year
kinderopvangtoeslag,childcare allowance,Topic 6,Belasting betalen,bedrag dat ouders maandelijks van de overheid krijgen om de kosten voor de kinderopvang te betalen,amount that parents receive monthly from the government to pay for childcare costs
kindgebonden budget,child-related budget,Topic 6,Belasting betalen,een extra vergoeding voor ouders met kinderen tot 18 jaar die onder een bepaalde inkomensgrens zitten,an extra allowance for parents with children up to 18 years who are below a certain income limit
kwijtschelding,remission,Topic 6,Belasting betalen,een vrijstelling krijgen voor iets waardoor je bijvoorbeeld een rekening niet hoeft te betalen,getting an exemption for something so you don't have to pay a bill for example
loonbelasting,wage tax,Topic 6,Belasting betalen,belasting die een werknemer over zijn loon moet betalen,tax that an employee has to pay on their wage
loonheffing,payroll tax,Topic 6,Belasting betalen,alle belastingen en premies die je moet betalen over je loon,all taxes and premiums you have to pay on your wage
loonstrook,pay slip,Topic 6,Belasting betalen,overzicht van je salaris waarop brutoloon toeslagen inhoudingen en nettoloon onder elkaar staan,overview of your salary showing gross salary allowances deductions and net salary
mijnoverheid.nl,mijnoverheid.nl,Topic 6,Belasting betalen,website waarop je de post van de overheid digitaal kunt ontvangen,website where you can receive government mail digitally
motorrijtuigenbelasting,motor vehicle tax,Topic 6,Belasting betalen,de belasting die je betaalt als je een motorvoertuig hebt zoals een auto,the tax you pay when you have a motor vehicle such as a car
nettoloon,net salary,Topic 6,Belasting betalen,het loon dat overblijft als de belasting erover betaald is,the salary that remains when tax has been paid on it
onroerendezaakbelasting,property tax,Topic 6,Belasting betalen,de belasting die je betaalt aan de gemeente als je een eigen woning hebt,the tax you pay to the municipality when you own a home
rijksoverheid,national government,Topic 6,Belasting betalen,de nationale overheid van een land,the national government of a country
rioolheffing,sewerage fee,Topic 6,Belasting betalen,de belasting die je betaalt aan de gemeente als je het riool gebruikt,the tax you pay to the municipality when you use the sewer
sociale premies,social premiums,Topic 6,Belasting betalen,het bedrag dat je elke maand over je salaris betaalt voor sociale verzekeringen,the amount you pay every month on your salary for social insurance
toeslag,allowance,Topic 6,Belasting betalen,geld dat je van de overheid krijgt om bijvoorbeeld de huur te betalen,money you get from the government to pay for example the rent
zorgtoeslag,healthcare allowance,Topic 6,Belasting betalen,bedrag dat mensen met een laag inkomen maandelijks van de overheid krijgen om de zorgverzekering te betalen,amount that people with low income receive monthly from the government to pay for health insurance
zzp'er,freelancer,Topic 6,Belasting betalen,iemand die in zijn eentje een bedrijf heeft; een zzp'er heeft geen personeel,someone who has a business on their own; a freelancer has no staff
betalingsregeling,payment arrangement,Topic 6,Toeslagen,afspraken over hoe je een bedrag in delen kunt betalen als je de rekening niet in één keer kunt betalen,agreements about how you can pay an amount in parts if you cannot pay the bill all at once
Dienst Toeslagen,Benefits Service,Topic 6,Toeslagen,een organisatie van de overheid die toeslagen regelt,a government organization that arranges allowances
gemeente,municipality,Topic 6,Toeslagen,een gebied dat wordt geleid door een burgemeester,an area that is led by a mayor
huurtoeslag,housing allowance,Topic 6,Toeslagen,geld dat je van de overheid krijgt om de huur van je huis te betalen,money you get from the government to pay the rent of your house
kinderbijslag,child benefit,Topic 6,Toeslagen,geld dat ouders van de overheid krijgen om de kosten voor hun kinderen te betalen,money that parents get from the government to pay for the costs of their children
kinderopvangtoeslag,childcare allowance,Topic 6,Toeslagen,geld dat je van de overheid krijgt om kinderopvang te betalen,money you get from the government to pay for childcare
overheid,government,Topic 6,Toeslagen,de regering,the government
Sociale Verzekeringsbank,Social Insurance Bank,Topic 6,Toeslagen,een organisatie van de overheid die bijvoorbeeld de kinderbijslag regelt,a government organization that for example arranges child benefit
toeslag,allowance,Topic 6,Toeslagen,geld dat je van de overheid krijgt om bijvoorbeeld huur of kinderopvang te betalen,money you get from the government to pay for example rent or childcare
verblijfsvergunning,residence permit,Topic 6,Toeslagen,een officieel document waarmee je kunt bewijzen dat je in Nederland mag blijven,an official document with which you can prove that you are allowed to stay in the Netherlands
zorgtoeslag,healthcare allowance,Topic 6,Toeslagen,geld dat je van de overheid krijgt om je zorgverzekering te betalen,money you get from the government to pay for your health insurance
aangifte doen,report,Topic 6,Naar de politie,een officiele melding maken bij de politie,making an official report to the police
alarmcentrale,emergency control center,Topic 6,Naar de politie,een instantie die je kunt bellen om hulp te vragen bij een ongeluk of een brand,an agency you can call to ask for help in case of an accident or fire
alarmnummer 112,emergency number 112,Topic 6,Naar de politie,een telefoonnummer om de hulpdiensten (politie ambulance en brandweer) snel te kunnen spreken,a phone number to quickly contact emergency services (police ambulance and fire department)
alcoholcontrole,alcohol control,Topic 6,Naar de politie,controle op alcoholgebruik in het verkeer door de politie,control of alcohol use in traffic by the police
boete,fine,Topic 6,Naar de politie,een financiële straf = de bekeuring,a financial penalty = the fine
criminaliteit,crime,Topic 6,Naar de politie,alles wat door de wet verboden is en daarom strafbaar is = de misdaad,everything that is prohibited by law and therefore punishable = crime
dader,perpetrator,Topic 6,Naar de politie,iemand die iets heeft gedaan wat niet mag,someone who has done something that is not allowed
een melding doen,make a report,Topic 6,Naar de politie,officieel laten weten = bekendmaken,officially letting know = announcing
landelijke servicenummer,national service number,Topic 6,Naar de politie,het nummer van de politie dat je belt als het geen spoedgeval is,the police number you call when it is not an emergency
misdrijf,crime,Topic 6,Naar de politie,een daad die volgens de wet streng verboden is en waarvoor je straf kunt krijgen = de misdaad,an act that is strictly prohibited by law and for which you can be punished = crime
politiebureau,police station,Topic 6,Naar de politie,het kantoor van de politie,the police office
spoedgeval,emergency,Topic 6,Naar de politie,een dringend geval waarbij snel iets moet worden gedaan = het noodgeval,an urgent case where something must be done quickly = emergency
terrorisme,terrorism,Topic 6,Naar de politie,proberen een politiek doel te bereiken door de samenleving met geweld te bedreigen,trying to achieve a political goal by threatening society with violence
waarschuwing,warning,Topic 6,Naar de politie,wat je zegt om iemand te laten weten dat iets gevaarlijk of verboden is,what you say to let someone know that something is dangerous or prohibited
wijkagent,community police officer,Topic 6,Naar de politie,een agent die op een bepaalde wijk moet letten,an officer who has to watch over a certain neighborhood
advocaat,lawyer,Topic 6,Hulp bij sociale en juridische problemen,iemand die voor zijn beroep mensen helpt die voor de rechter moeten komen,someone who helps people who have to appear in court as their profession
afkomst,origin,Topic 6,Hulp bij sociale en juridische problemen,de plaats waar je geboren bent of de familie waarin je geboren bent,the place where you were born or the family you were born into
behandelen,treat,Topic 6,Hulp bij sociale en juridische problemen,goed of slecht omgaan met iemand of iets,dealing well or badly with someone or something
bezwaar maken,object,Topic 6,Hulp bij sociale en juridische problemen,een reden geven waarom je iets niet wilt,giving a reason why you don't want something
bezwaartermijn,objection period,Topic 6,Hulp bij sociale en juridische problemen,de tijd die je hebt om bezwaar te maken vaak een paar weken,the time you have to object often a few weeks
een klacht afhandelen,handle a complaint,Topic 6,Hulp bij sociale en juridische problemen,de ingediende klacht zo regelen dat het klaar is,handling the submitted complaint so that it is finished
een klacht indienen,file a complaint,Topic 6,Hulp bij sociale en juridische problemen,officieel melden dat je een probleem hebt met iets of iemand,officially reporting that you have a problem with something or someone
eigen bijdrage,personal contribution,Topic 6,Hulp bij sociale en juridische problemen,het gedeelte van de kosten dat je zelf moet betalen,the part of the costs you have to pay yourself
hoorzitting,hearing,Topic 6,Hulp bij sociale en juridische problemen,een vergadering waarop iedereen kan zeggen wat hij of zij van een plan van de overheid vindt,a meeting where everyone can say what they think of a government plan
in hoger beroep gaan,appeal,Topic 6,Hulp bij sociale en juridische problemen,naar een hogere rechter gaan als de rechter zegt dat je schuldig bent,going to a higher judge when the judge says you are guilty
inloopspreekuur,walk-in consultation,Topic 6,Hulp bij sociale en juridische problemen,de tijd waarop je een medewerker zonder afspraak kunt bezoeken,the time when you can visit an employee without an appointment
instantie,agency,Topic 6,Hulp bij sociale en juridische problemen,een afdeling of een instelling van de overheid,a department or institution of the government
Juridisch loket,Legal desk,Topic 6,Hulp bij sociale en juridische problemen,organisatie die gratis hulp geeft voor juridische zaken,organization that provides free help for legal matters
jurist,lawyer,Topic 6,Hulp bij sociale en juridische problemen,iemand die aan de universiteit een studie over het recht heeft gedaan,someone who studied law at university
Nationale ombudsman,National ombudsman,Topic 6,Hulp bij sociale en juridische problemen,organisatie die klachten van burgers over instanties behandelt,organization that handles citizens' complaints about agencies
onderzoek doen,investigate,Topic 6,Hulp bij sociale en juridische problemen,proberen te weten te komen hoe iets gebeurd is,trying to find out how something happened
rechter,judge,Topic 6,Hulp bij sociale en juridische problemen,iemand bij een rechtbank die beslist of mensen zich volgens de wet hebben gedragen en welke straf zij eventueel moeten krijgen,someone at a court who decides whether people have behaved according to the law and what punishment they may have to receive
rechtswinkel,legal aid office,Topic 6,Hulp bij sociale en juridische problemen,organisatie die gratis juridisch advies geeft,organization that provides free legal advice
aansprakelijk,liable,Topic 6,Verzekeren en schade,iemand die aansprakelijk is voor iets is daar verantwoordelijk voor,someone who is liable for something is responsible for it
aansprakelijkheidsverzekering,liability insurance,Topic 6,Verzekeren en schade,als je een aansprakelijkheidsverzekering hebt krijg je geld als je schade aan de spullen van anderen veroorzaakt; een aansprakelijkheidsverzekering is niet verplicht,if you have liability insurance you get money when you cause damage to other people's belongings; liability insurance is not mandatory
aanvullende verzekering,supplementary insurance,Topic 6,Verzekeren en schade,als je een aanvullende verzekering hebt krijg je geld voor extra medische kosten zoals kosten van fysiotherapie; een aanvullende verzekering is niet verplicht,if you have supplementary insurance you get money for extra medical costs such as physiotherapy costs; supplementary insurance is not mandatory
autoverzekering,car insurance,Topic 6,Verzekeren en schade,als je een autoverzekering hebt krijg je geld als er schade aan je auto is; een autoverzekering is verplicht voor iedereen die een auto heeft,if you have car insurance you get money when there is damage to your car; car insurance is mandatory for everyone who has a car
declareren,claim,Topic 6,Verzekeren en schade,een rekening sturen naar de verzekering om de kosten die je moet betalen terug te krijgen,sending a bill to the insurance to get back the costs you have to pay
een verzekering afsluiten,take out insurance,Topic 6,Verzekeren en schade,een verzekering nemen bij een bepaalde verzekeraar,taking insurance with a specific insurer
eigen risico,deductible,Topic 6,Verzekeren en schade,het deel van de kosten dat de verzekeraar niet vergoedt je moet het zelf betalen,the part of the costs that the insurer does not reimburse you have to pay it yourself
inboedelverzekering,contents insurance,Topic 6,Verzekeren en schade,als je een inboedelingverzekering hebt krijg je geld als er dingen in je huis gestolen worden of kapotgaan; een inboedelverzekering is niet verplicht,if you have contents insurance you get money when things in your house are stolen or broken; contents insurance is not mandatory
opstalverzekering,building insurance,Topic 6,Verzekeren en schade,als je een opstalverzekering hebt krijg je geld als er schade is aan je huis = de woonhuisverzekering,if you have building insurance you get money when there is damage to your house = home insurance
premie,premium,Topic 6,Verzekeren en schade,het geld dat je per maand moet betalen voor je verzekering,the money you have to pay per month for your insurance
reisverzekering,travel insurance,Topic 6,Verzekeren en schade,als je een reisverzekering hebt krijg je geld als er iets vervelends gebeurt tijdens je reis in het buitenland,if you have travel insurance you get money when something unpleasant happens during your trip abroad
schade,damage,Topic 6,Verzekeren en schade,wanneer iets kapotgaat door een vervelende gebeurtenis,when something breaks due to an unpleasant event
vergoeden,reimburse,Topic 6,Verzekeren en schade,de kosten betalen; de zorgverzekering vergoedt de kosten van de huisarts,paying the costs; health insurance reimburses the costs of the GP
verzekeringspolis,insurance policy,Topic 6,Verzekeren en schade,een document waarin staat welke verzekering je hebt,a document stating which insurance you have
woonhuisverzekering,home insurance,Topic 6,Verzekeren en schade,als je een woonhuisverzekering hebt krijg je geld van de verzekering als er schade is aan je huis = de opstalverzekering,if you have home insurance you get money from the insurance when there is damage to your house = building insurance
zorgverzekering,health insurance,Topic 6,Verzekeren en schade,als je een zorgverzekering hebt krijg je geld van de verzekering als je zorg nodig hebt; een basis zorgverzekering is verplicht,if you have health insurance you get money from the insurance when you need care; basic health insurance is mandatory
Afsluitdijk,Afsluitdijk,Topic 7,Het land,lange dijk tussen Noord-Holland en Friesland,long dike between North Holland and Friesland
de automaat,ticket machine,Topic 7,Het land,een apparaat waar je een kaartje voor het openbaar vervoer kunt kopen,a machine where you can buy a ticket for public transport
dichtbevolkt,densely populated,Topic 7,Het land,iets is dichtbevolkt als er veel mensen op een klein oppervlak wonen,something is densely populated when many people live in a small area
dijk,dike,Topic 7,Het land,een dijk staat langs de zee of langs een rivier om het land tegen het water te beschermen,a dike stands along the sea or along a river to protect the land against water
Domtoren,Dom Tower,Topic 7,Het land,hoge kerktoren in Utrecht,tall church tower in Utrecht
duin,dune,Topic 7,Het land,een heuvel van zand bij de zee op het strand,a hill of sand by the sea on the beach
gracht,canal,Topic 7,Het land,een soort smalle rivier in een stad die door mensen is gemaakt,a kind of narrow river in a city made by people
haven,harbor,Topic 7,Het land,een plaats in een stad of dorp waar boten aankomen,a place in a city or village where boats arrive
hoofdstad,capital,Topic 7,Het land,de belangrijkste stad van een land of een provincie,the most important city of a country or province
IJsselmeer,IJsselmeer,Topic 7,Het land,het grootste meer in het midden van Nederland,the largest lake in the middle of the Netherlands
noorden,north,Topic 7,Het land,het gebied tegenover het zuiden,the area opposite to the south
Noordzee,North Sea,Topic 7,Het land,de zee tussen Nederland en Engeland,the sea between the Netherlands and England
oosten,east,Topic 7,Het land,de kant waar de zon opkomt,the side where the sun rises
OV-app,public transport app,Topic 7,Het land,een app waarmee je een reis in het openbaar vervoer kunt plannen,an app with which you can plan a journey in public transport
polder,polder,Topic 7,Het land,een stuk land tussen dijken waar vroeger zee was,a piece of land between dikes where there used to be sea
provincie,province,Topic 7,Het land,een deel van een land met een eigen bestuur zoals Zuid-Holland Gelderland of Limburg,a part of a country with its own government such as South Holland Gelderland or Limburg
Randstad,Randstad,Topic 7,Het land,het drukke gebied tussen Amsterdam Den Haag Rotterdam en Utrecht,the busy area between Amsterdam The Hague Rotterdam and Utrecht
rivier,river,Topic 7,Het land,een natuurlijke stroom water door het land die eindigt in de zee,a natural stream of water through the land that ends in the sea
Schiphol,Schiphol,Topic 7,Het land,de grootse luchthaven van Nederland vlakbij Amsterdam,the largest airport in the Netherlands near Amsterdam
vervoersbewijs,transport ticket,Topic 7,Het land,een kaartje voor het openbaar vervoer waarmee je kunt laten zien dat je hebt betaald,a ticket for public transport with which you can show that you have paid
vlak,flat,Topic 7,Het land,vlakke dingen zijn plat zonder heuvels,flat things are flat without hills
Waddeneilanden,Wadden Islands,Topic 7,Het land,de eilanden in de Waddenzee,the islands in the Wadden Sea
westen,west,Topic 7,Het land,de kant waar de zon ondergaat,the side where the sun sets
zeespiegel,sea level,Topic 7,Het land,de hoogte van het zeewater,the height of the seawater
zuiden,south,Topic 7,Het land,de kant waar in de middag de zon staat,the side where the sun is at noon
dagboek van Anne Frank,diary of Anne Frank,Topic 7,Het ontstaan van Nederland,een dagboek van een Joods meisje dat tijdens de Tweede Wereldoorlog is vermoord,a diary of a Jewish girl who was murdered during World War II
Deltawerken,Delta Works,Topic 7,Het ontstaan van Nederland,dijken en dammen aan de kust van Nederland ze beschermen Nederland tegen het water,dikes and dams on the coast of the Netherlands they protect the Netherlands against water
Eerste Wereldoorlog,First World War,Topic 7,Het ontstaan van Nederland,een grote oorlog tussen 1914 en 1918,a major war between 1914 and 1918
Europese Unie,European Union,Topic 7,Het ontstaan van Nederland,een groep landen in Europa die samenwerken,a group of countries in Europe that work together
gastarbeider,guest worker,Topic 7,Het ontstaan van Nederland,een persoon die tijdelijk in een ander land gaat wonen en werken,a person who temporarily goes to live and work in another country
Gouden Eeuw,Golden Age,Topic 7,Het ontstaan van Nederland,periode in de 17e eeuw (1600-1700) waarin Nederland heel rijk was,period in the 17th century (1600-1700) when the Netherlands was very rich
handel,trade,Topic 7,Het ontstaan van Nederland,kopen en verkopen bijvoorbeeld van spullen,buying and selling for example of goods
katholiek,Catholic,Topic 7,Het ontstaan van Nederland,de katholieke kerk is de christelijke kerk waarvan de paus in Rome de baas is,the Catholic Church is the Christian church of which the Pope in Rome is the boss
Keti Koti,Keti Koti,Topic 7,Het ontstaan van Nederland,een feestdag op 1 juli om het einde van de slavernij in Nederlandse koloniën te vieren,a holiday on July 1 to celebrate the end of slavery in Dutch colonies
kolonie,colony,Topic 7,Het ontstaan van Nederland,een rijk land is de baas over een armer land de mensen in het arme land worden meestal slecht behandeld,a rich country is the boss over a poorer country the people in the poor country are usually treated badly
Koninkrijk der Nederlanden,Kingdom of the Netherlands,Topic 7,Het ontstaan van Nederland,het officiële gebied van Nederland Aruba Curaçao en Sint Maarten,the official territory of the Netherlands Aruba Curaçao and Sint Maarten
Lage Landen,Low Countries,Topic 7,Het ontstaan van Nederland,een oude naam van Nederland,an old name of the Netherlands
macht,power,Topic 7,Het ontstaan van Nederland,de invloed die belangrijke mensen hebben zoals een koning,the influence that important people have such as a king
multiculturele samenleving,multicultural society,Topic 7,Het ontstaan van Nederland,een samenleving waarin mensen uit verschillende culturen met elkaar samenleven,a society in which people from different cultures live together
Nachtwacht,Night Watch,Topic 7,Het ontstaan van Nederland,een beroemd en groot schilderij van de schilder Rembrandt het hangt in het Rijksmuseum,a famous and large painting by the painter Rembrandt it hangs in the Rijksmuseum
NAVO,NATO,Topic 7,Het ontstaan van Nederland,een militaire samenwerking tussen landen in Europa en de Verenigde Staten en Canada,a military cooperation between countries in Europe and the United States and Canada
onafhankelijk,independent,Topic 7,Het ontstaan van Nederland,zonder de invloed of hulp van anderen zelfstandig,without the influence or help of others independent
opstand,uprising,Topic 7,Het ontstaan van Nederland,het verzet van een grote groep mensen,the resistance of a large group of people
slavernij,slavery,Topic 7,Het ontstaan van Nederland,de handel in mensen mensen zijn niet vrij maar ze zijn het bezit van iemand anders,the trade in people people are not free but they are the property of someone else
Waternoodramp,North Sea flood,Topic 7,Het ontstaan van Nederland,een grote overstroming in Zuidwest-Nederland in 1953,a major flood in Southwest Netherlands in 1953
Wilhelmus,Wilhelmus,Topic 7,Het ontstaan van Nederland,titel van het Nederlandse volkslied,title of the Dutch national anthem
Bevrijdingsdag,Liberation Day,Topic 7,Het was oorlog,feestdag op 5 mei Nederland viert dan het einde van de Tweede Wereldoorlog in 1945,holiday on May 5 the Netherlands celebrates the end of World War II in 1945
deportatie,deportation,Topic 7,Het was oorlog,het verplaatsen van mensen onder dwang,the forced relocation of people
dodenherdenking,remembrance of the dead,Topic 7,Het was oorlog,een moment op 4 mei om 20.00 uur is iedereen in Nederland tweede minuten stil om te denken aan de slachtoffers van de oorlog,a moment on May 4 at 8:00 PM everyone in the Netherlands is silent for two minutes to think of the victims of war
